Aluno,IPV Previsto,Atingirá o ponto de virada
Aluno 178,6.287199999999998,Não
Aluno 179,5.999300000000001,Não
Aluno 180,7.282699999999985,Não
Aluno 181,9.318099999999996,Sim
Aluno 182,8.060599999999983,Não
Aluno 183,8.248500000000002,Não
Aluno 184,5.952000000000001,Não
Aluno 185,8.116900000000003,Não
Aluno 186,6.503200000000001,Não
Aluno 187,9.63890000000001,Sim
Aluno 188,7.5,Não
Aluno 189,6.826200000000004,Não
Aluno 190,7.9994,Não
Aluno 191,7.880199999999997,Não
Aluno 192,8.220300000000016,Não
Aluno 193,5.892099999999991,Não
Aluno 194,4.906700000000003,Não
Aluno 195,7.280599999999984,Não
Aluno 196,5.9130999999999965,Não
Aluno 197,8.125099999999998,Não
Aluno 198,6.005300000000002,Não
Aluno 199,6.002500000000001,Não
Aluno 200,7.076400000000003,Não
Aluno 201,5.3872000000000035,Não
Aluno 202,7.169999999999992,Não
Aluno 203,7.67239999999999,Não
Aluno 204,5.526500000000002,Não
Aluno 205,8.278899999999998,Não
Aluno 206,7.330000000000009,Não
Aluno 207,8.390999999999993,Não
Aluno 208,9.327100000000012,Sim
Aluno 209,5.161500000000002,Não
Aluno 210,5.216399999999994,Não
Aluno 211,6.89189999999999,Não
Aluno 212,7.5,Não
Aluno 213,7.7479000000000005,Não
Aluno 214,8.214700000000017,Não
Aluno 215,7.722000000000012,Não
Aluno 216,6.377199999999992,Não
Aluno 217,6.122000000000003,Não
Aluno 218,9.665099999999988,Sim
Aluno 219,6.374599999999996,Não
Aluno 220,6.7135,Não
Aluno 221,8.074800000000005,Não
Aluno 222,6.708000000000001,Não
Aluno 223,7.5,Não
Aluno 224,9.904100000000001,Sim
Aluno 225,8.1658,Não
Aluno 226,6.923899999999999,Não
Aluno 227,6.119500000000004,Não
Aluno 228,4.654900000000002,Não
Aluno 229,7.42029999999999,Não
Aluno 230,8.39129999999999,Não
Aluno 231,6.756399999999997,Não
Aluno 232,7.996400000000001,Não
Aluno 233,7.8751999999999995,Não
Aluno 234,7.4190999999999905,Não
Aluno 235,5.771599999999998,Não
Aluno 236,7.169199999999993,Não
Aluno 237,7.560799999999985,Não
Aluno 238,7.28419999999999,Não
Aluno 239,6.491499999999999,Não
Aluno 240,7.609700000000009,Não
Aluno 241,8.70350000000001,Sim
Aluno 242,7.953900000000008,Não
Aluno 243,8.324,Não
Aluno 244,7.5,Não
Aluno 245,7.278899999999982,Não
Aluno 246,8.9211,Sim
Aluno 247,8.072200000000002,Não
Aluno 248,7.169999999999992,Não
Aluno 249,5.725099999999998,Não
Aluno 250,7.9241999999999955,Não
Aluno 251,7.5,Não
Aluno 252,7.330000000000009,Não
Aluno 253,7.048699999999993,Não
Aluno 254,8.32640000000001,Não
Aluno 255,5.184000000000001,Não
Aluno 256,4.8069,Não
Aluno 257,8.462800000000007,Não
Aluno 258,5.829600000000002,Não
Aluno 259,5.892199999999991,Não
Aluno 260,5.830900000000001,Não
Aluno 261,6.0009000000000015,Não
Aluno 262,8.061199999999983,Não
Aluno 263,8.060999999999982,Não
Aluno 264,6.305499999999999,Não
Aluno 265,7.88889999999999,Não
Aluno 266,7.5,Não
Aluno 267,9.264099999999997,Sim
Aluno 268,7.330000000000009,Não
Aluno 269,9.43049999999999,Sim
Aluno 270,8.20430000000001,Não
Aluno 271,8.2503,Não
Aluno 272,4.898900000000003,Não
Aluno 273,8.2509,Não
Aluno 274,6.163599999999999,Não
Aluno 275,8.926200000000012,Sim
Aluno 276,7.220700000000017,Não
Aluno 277,7.790299999999993,Não
Aluno 278,7.5599999999999845,Não
Aluno 279,7.330000000000009,Não
Aluno 280,6.8311000000000055,Não
Aluno 281,9.506099999999998,Sim
Aluno 282,5.234500000000009,Não
Aluno 283,9.804800000000007,Sim
Aluno 284,7.330000000000009,Não
Aluno 285,6.162999999999999,Não
Aluno 286,8.28349999999999,Não
Aluno 287,8.665999999999991,Sim
Aluno 288,7.997999999999999,Não
Aluno 289,8.83380000000001,Sim
Aluno 290,8.496200000000002,Sim
Aluno 291,5.585100000000003,Não
Aluno 292,5.585100000000003,Não
Aluno 293,7.5,Não
Aluno 294,7.169199999999993,Não
Aluno 295,4.452100000000003,Não
Aluno 296,7.559699999999984,Não
Aluno 297,3.991600000000005,Não
Aluno 298,6.036600000000002,Não
Aluno 299,7.548499999999989,Não
Aluno 300,7.278899999999982,Não
Aluno 301,7.5,Não
Aluno 302,7.67119999999999,Não
Aluno 303,7.063399999999988,Não
Aluno 304,8.222100000000014,Não
Aluno 305,6.572499999999992,Não
Aluno 306,6.612400000000004,Não
Aluno 307,8.4986,Sim
Aluno 308,7.330000000000009,Não
Aluno 309,7.222400000000016,Não
Aluno 310,7.059999999999986,Não
Aluno 311,7.221500000000017,Não
Aluno 312,7.5,Não
Aluno 313,7.431700000000009,Não
Aluno 314,5.826100000000001,Não
